"ccg","Period.Type","access_2021","access_2122","access_2021_1c","access_2122_1c","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","t4beddays_Q1_201718","t4beddays_Q2_201718","t4beddays_Q3_201718","t4beddays_Q4_201718","t4beddays_Q1_201819","t4beddays_Q2_201819","t4beddays_Q3_201819","t4beddays_Q4_201819","t4beddays_Q1_201920","t4beddays_Q2_201920","t4beddays_Q3_201920","t4beddays_Q4_201920","t4beddays_Q1_202021","t4beddays_Q2_202021","t4beddays_Q3_202021","t4beddays_Q4_202021","t4beddays_Q1_202122","t4beddays_Q2_202122","t4beddays_Q3_202122","t4beddays_Q4_202122","t4admissions_Q1_201718","t4admissions_Q2_201718","t4admissions_Q3_201718","t4admissions_Q4_201718","t4admissions_Q1_201819","t4admissions_Q2_201819","t4admissions_Q3_201819","t4admissions_Q4_201819","t4admissions_Q1_201920","t4admissions_Q2_201920","t4admissions_Q3_201920","t4admissions_Q4_201920","t4admissions_Q1_202021","t4admissions_Q2_202021","t4admissions_Q3_202021","t4admissions_Q4_202021","t4admissions_Q1_202122","t4admissions_Q2_202122","t4admissions_Q3_202122","t4admissions_Q4_202122","adultward_Q1_202021","adultward_Q2_202021","adultward_Q3_202021","adultward_Q4_202021","adultward_Q1_202122","adultward_Q2_202122","adultward_Q3_202122","adultward_Q4_202122","org_cd","no_referred_2122","avg_wait_days_2122","wait_0to4_weeks_2122","wait_0to4_weeks_perc_2122","wait_4to6_weeks_2122","wait_4to6_weeks_perc_2122","wait_6to8_weeks_2122","wait_6to8_weeks_perc_2122","wait_8to10_weeks_2122","wait_8to10_weeks_perc_2122","wait_10to12_weeks_2122","wait_10to12_weeks_perc_2122","wait_over12_weeks_2122","wait_over12_weeks_perc_2122","referrals_closed_number_2122","referrals_closed_2122","stillwaiting_nocontact_2122","stillwaiting_nocontact_perc_2122","stillwaiting_onecontact_2122","stillwaiting_onecontact_perc_2122","contacts_before_referral_2122","overall_score_2021","no_referred_2021","wait_0to4_weeks_2021","wait_4to6_weeks_2021","wait_6to8_weeks_2021","wait_8to10_weeks_2021","wait_10to12_weeks_2021","wait_over12_weeks_2021","referrals_closed_number_2021","stillwaiting_nocontact_2021","stillwaiting_onecontact_2021","contacts_before_referral_2021","wait_days_2021","avg_wait_days_2021","referrals_closed_2021","overall_score_1920","no_referred_1920","wait_0to4_weeks_1920","wait_4to6_weeks_1920","wait_6to8_weeks_1920","wait_8to10_weeks_1920","wait_10to12_weeks_1920","wait_over12_weeks_1920","referrals_closed_number_1920","stillwaiting_nocontact_1920","stillwaiting_onecontact_1920","contacts_before_referral_1920","wait_days_1920","avg_wait_days_1920","referrals_closed_1920","pop_2018","pop_2019","pop_2020","spc_202122","spc_202021","spc_201920","percreferred_202122","percreferred_202021","percreferred_201920","total_budget_202122","total_budget_202021","total_budget_201920","total_budget_201819","total_budget_201718","pbudget_camhs_2122","pbudget_camhs_2021","pbudget_camhs_1920","pbudget_camhs_1819","pbudget_camhs_1718","spc_2122_quintile","pbudget_2122_quintile","avgwait_2122_quintile","percreferred_2122_quintile","referralsclosed_2122_quintile","overall_score_2122"
"NHS Hull CCG","Rolling 12 month",1945,2435,2915,3210,0.140335828256618,0.15090350345791,0.149600385133022,0.123724194382233,0.132471617583899,56214186.599,60513964.82516,63102938.45296,65833505.8684663,70488000,3917120,2825721.2255,3769038.82803118,4032905.61379543,4049000,155850,163845.31557,161247.09518509,163706.090440841,167000,469,469,468,329,302,447,416,364,435,426,84,207,242,341,304,311,218,310,214,296,7,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,6,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,30,NA,NA,"03F",4725,34,685,14,140,3,135,2,95,2,45,0,115,2,1925,40,1360,28,220,4,NA,14,3165,520,50,40,40,45,115,1255,730,365,0,110775,35,40,15,3625,390,175,95,50,35,185,1245,1265,185,0,177625,49,34,57023,57370,57585,70.3134496830772,70.0339604722659,65.6970337812651,0.0820526178692368,0.05496222974733,0.0631863343210737,532098884.920443,532098884.920443,421810000,401011000,400569030,0.00760948785037463,0.00757924086685206,0.00893539467540168,0.00704649305255965,0.00977888879726924,3,1,4,5,2,15
"NHS North East Lincolnshire CCG","Rolling 12 month",1180,1225,1620,1550,0.131585821519112,0.13895821557459,0.143014433484691,0.143882727504702,0.155411328602687,30675681.47,31959000,34551000,36805000,39754000,2880538,2764000,2882000,3211000,3301000,91000,93000,96000,96000,98000,86,69,148,134,91,99,35,90,155,152,140,93,NA,120,92,139,121,80,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,55,"03H",2685,36,315,11,75,2,95,3,80,2,30,1,50,1,1110,41,745,27,175,6,NA,22,1515,365,140,65,25,15,30,330,305,240,0,39390,26,22,22,1650,570,80,35,25,20,60,475,95,290,0,39600,24,29,34503,34518,34460,95.7922228670923,93.1804991294254,83.4926704907584,0.0779164248403947,0.0439640162507255,0.0478011472275335,255798598.193778,255798598.193777,241591000,229990000,233123000,0.0129046836976775,0.01255284439662,0.0119292523314196,0.0120179138223401,0.0123563011800637,5,5,3,5,2,20
"NHS North Lincolnshire CCG","Rolling 12 month",1230,1355,1640,1785,0.139119807402197,0.134157238310631,0.139906567476623,0.140050412299177,0.120838557777409,30063512.14,30964563.86,33948468.50477,37186541.1461,32085360.743,1637666.82,1595126.51,1623891.23,1951360.8907,2339795.3272,90000,90000,90000,92340,95367.7,183,34,NA,NA,NA,20,170,66,47,119,214,217,218,244,236,195,183,159,125,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03K",1935,26,515,26,80,4,45,2,20,1,20,1,55,2,615,31,440,22,150,7,NA,12,1435,375,30,15,20,25,60,310,360,235,0,41615,29,22,13,1400,120,20,15,10,10,30,155,775,265,0,47600,34,11,35714,35638,35677,65.5827375395913,54.6952067354318,45.5662840226724,0.054236623034448,0.0402219917593968,0.0392839104326842,265522539.602822,265522539.602824,242651000,230807999.999999,216098000,0.00881204032885474,0.00734913462947026,0.00669229152156802,0.006911053819625,0.00757835250673305,2,3,4,2,4,15
"NHS Vale Of York CCG","Rolling 12 month",3095,3080,3810,4700,0.178110180932357,0.164942911860075,0.164740005290731,0.157614360415413,0.162870724190534,67449630.925,68006952.21738,71569483.1585,76333824.74008,78879521.402,2653243.1416,3372061,3937338,4508871,4051787.5535,232668.4682,165536,156164,157329,182876.13799,1304,1517,1264,802,629,536,492,711,603,592,444,421,400,347,320,346,224,399,416,478,15,14,9,7,8,NA,7,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,NA,NA,NA,"03Q",4420,29,1200,27,165,3,140,3,120,2,85,1,170,3,980,22,655,14,910,20,NA,17,2925,1040,140,110,95,100,320,455,355,315,0,125775,43,16,14,2820,605,190,150,130,100,150,770,215,510,0,109980,39,27,66354,66910,67144,60.3447449288097,67.1522548552365,58.8452847108056,0.0658286667460979,0.0435630882878589,0.0421461664923031,484307550.015698,484307550.015699,434439000.000001,412305999.999999,378696100.2,0.00836614575463188,0.00930993332615576,0.00906303992044912,0.00817853972534963,0.00700625947877136,2,2,4,4,5,17
"NHS Gloucestershire CCG","Rolling 12 month",3940,5020,5275,7105,0.106493083528728,0.120359487502022,0.141043150960801,0.109988080357551,0.116979221352475,81786000,91660971.30204,113546365.55154,102068889.94741,108556665.7,6629000,6291480.6357,6537589.2109,6867648.157,8417764.9366,486000,709165.36834,949798.94132,1005194.43266,1032135,727,995,1008,863,893,1213,1251,1222,1352,1209,1198,848,626,666,571,620,519,422,326,229,8,7,5,6,14,5,12,10,9,13,11,7,6,NA,NA,6,NA,NA,NA,NA,NA,20,NA,10,25,25,5,NA,"11M",7950,70,695,8,305,3,290,3,275,3,175,2,905,11,2285,28,2100,26,920,11,NA,9,5615,970,460,275,195,120,245,1510,1200,635,0,230215,41,27,10,5300,560,305,230,145,100,355,2060,995,550,0,296800,56,39,128136,128910,129562,64.9709400642164,53.0066543971226,50.7143682483904,0.0613605841218876,0.0433383245087294,0.0411139554728105,927999557.912113,927999557.91212,805047000,761560000.000001,767993538.077401,0.00907087170983029,0.0074004864533032,0.00812075470239625,0.00826130657558169,0.00863158304247595,2,3,1,3,4,13
"NHS Portsmouth CCG","Rolling 12 month",1445,1490,1940,2500,0.155043350542057,0.157199349348102,0.161442006268579,0.160992562887849,0.172374654770416,44176967,44165000,47791999.9997,51082493.8058078,54694000,2630000,1987788.93111973,2323417.09720535,2517613.05050085,2685000,109000,108790,112947.251944333,212713.923509851,335000,175,310,331,196,185,312,300,500,331,612,542,432,194,111,90,142,130,193,290,123,NA,NA,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10R",2900,65,250,8,50,1,55,1,40,1,40,1,190,6,1220,42,635,21,420,14,NA,10,1665,160,50,40,35,25,115,445,455,335,0,91575,55,27,10,1705,205,40,40,30,30,205,535,275,345,0,124465,73,31,44046,43756,43756,61.3630130724929,57.5375502902653,53.0993943049033,0.066276624920011,0.0380519243075235,0.0389660846512478,317297227.210383,317297227.210384,296032000,280949000.000001,284933000,0.00846209726950976,0.00793455736324966,0.00784853359503482,0.00707526608430614,0.00923024009153027,2,2,1,4,1,10
"NHS Somerset CCG","Rolling 12 month",2290,2695,3715,4140,0.111506026266708,0.114360001588238,0.124020896175203,0.114383772817382,0.120184054674559,80471000,83525000,95840000,105366000,110709000,5375000,5390000,6228000,6932000,7463000,284000,384000,484000,547000,689000,1160,1392,1338,997,1314,1491,1058,924,788,826,737,607,436,659,565,612,242,268,311,17,10,9,13,11,19,11,10,7,8,NA,11,NA,NA,6,7,9,NA,NA,NA,NA,NA,NA,NA,20,50,NA,NA,NA,"11X",6340,32,1130,17,235,3,155,2,100,1,70,1,230,3,2720,42,1375,21,325,5,NA,11,3740,1140,165,80,40,15,25,1320,330,615,15,56100,15,35,11,3850,880,140,95,75,65,100,1665,200,635,0,103950,27,43,110700,111190,111293,67.057227318879,62.2860377561931,56.0122313157658,0.0569667454377185,0.0336049886336068,0.0346254159546722,921162131.696954,921162131.696957,772772999.999999,730369000.000002,721673999.999998,0.00810172253417729,0.00752527677970211,0.00805928778567575,0.00737983129075849,0.00744796126783009,2,2,4,3,1,12
"NHS Kernow CCG","Rolling 12 month",3375,4085,3925,4865,0.172604336178166,0.170002381729032,0.172144487410149,0.155553360689717,0.166168044566319,121447000,131335000,140363000,147039000,157072679.09,6206000,5838000,8694000,10968000,9810965.4317,653000,722000,665000,709000,1091802.3214,1273,1392,1269,1170,1270,1172,918,1426,1698,1500,1329,1178,1133,1145,969,434,517,475,907,919,13,12,14,17,11,12,15,15,14,15,10,20,20,10,10,7,7,9,8,12,NA,NA,NA,50,NA,NA,NA,NA,"11N",5885,45,910,15,255,4,215,3,180,3,115,1,330,5,2220,37,1360,23,300,5,NA,15,3605,1025,250,95,60,45,95,1380,475,180,0,97335,27,38,12,3485,725,210,155,75,80,300,1355,405,180,0,163795,47,39,108178,108852,109293,89.7675553942155,100.354094040789,79.8699151140999,0.0538460834637168,0.0329847291226337,0.0320159482600228,945264051.821414,945264051.821416,815379000.000001,772547999.999999,703614999.999998,0.010379073881838,0.0116031070671374,0.0106625262607941,0.00755681200391433,0.00882016443651715,4,4,2,2,2,14
"NHS Berkshire West CCG","Rolling 12 month",3780,4855,5620,7095,0.117926596689445,0.130422378870164,0.131084627156407,0.143481216410769,0.151332816417379,68716009.913,75432000,79952315.55688,93748013.4528,98878105.889,5212000,3746000,4385588.3715,4956184,5337480.7296,674000,2978000,2977427.0817,3301055,3399155.828,629,246,375,744,899,677,572,974,916,962,759,906,1002,1148,1247,992,945,700,638,606,NA,NA,6,8,6,NA,8,10,6,5,6,6,17,NA,7,6,6,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5,"15A",8570,36,1360,15,280,3,145,1,130,1,120,1,340,3,1990,23,3165,36,965,11,80,20,4930,1195,105,75,75,40,180,920,1390,890,55,133110,27,19,16,4270,325,70,70,60,45,215,930,2090,455,10,256200,60,22,112235,113021,114075,46.7892240157791,43.446714880561,38.8033053282133,0.0751260135875521,0.0432171816787201,0.0377805894479787,653381786.11764,653381786.117641,609928999.999999,578366999.999999,582701543.519999,0.00816900752822485,0.00758543336423468,0.007190326040408,0.00647685639049255,0.00894454469524006,1,2,3,5,5,16
"NHS Buckinghamshire CCG","Rolling 12 month",4575,4680,6760,7000,0.136901800435818,0.142736170914009,0.146744130049577,0.143615043476205,0.151040936688111,84587000,87482000,95072000,101205000,106438000,4386000,4976700,5049000,6417000,5853000,256000,256000,338000,427000,368000,1046,821,758,698,596,754,1290,1443,1516,1550,1236,1255,1109,970,966,967,992,899,863,1123,9,6,9,7,8,8,10,14,10,10,13,6,9,7,7,9,13,5,9,11,NA,NA,NA,NA,NA,NA,NA,5,"14Y",7795,42,1215,15,200,2,180,2,145,1,130,1,405,5,2440,31,2105,27,970,12,NA,17,6120,1335,250,165,95,70,175,640,1920,1465,0,165240,27,10,14,6670,1045,175,125,100,85,335,740,2535,1490,40,280140,42,11,124845,126312,127411,45.9379488427216,50.3645682083964,39.9724491734752,0.0611799609138928,0.0480335292871102,0.0528057508391918,704696371.287653,704696371.287652,647876000.000002,612893000.000002,617866234.999998,0.00830570475239589,0.00910604944406707,0.00779315794997806,0.00812001442339851,0.00709862386314088,1,2,3,3,4,13
"NHS Oxfordshire CCG","Rolling 12 month",5570,5545,6830,7230,0.0984307193124889,0.106111787452988,0.110773163471754,0.0925106742656129,0.102117716054901,77313606,82019000,90395000,97585000,107719000,7070860,6498000,6775000,6987000,7240000,816353,828000,828000,851000,855000,1679,1209,1465,2128,1904,1507,1988,1608,1626,1637,1332,1403,1433,1798,1599,1508,1514,1489,1063,737,17,15,18,17,16,17,19,16,19,17,10,20,10,14,9,13,17,7,6,6,NA,NA,10,NA,NA,NA,NA,10,"10Q",7480,57,835,11,185,2,160,2,125,1,90,1,435,5,2260,30,2645,35,740,9,NA,9,6005,795,210,150,120,110,395,1870,1800,555,0,312260,52,31,10,6960,530,170,150,115,95,525,2215,2505,655,0,515040,74,32,141395,142659,144435,50.126354415481,48.3747014227853,47.4908698364632,0.0517880015231765,0.0415757953404646,0.0487876684962042,1054851245.81211,1054851245.81211,816037000.000003,772949000.000004,785462166.08,0.0068635269937289,0.00662368274933481,0.00830231962521305,0.00840676422377152,0.00900216497414317,1,1,1,2,4,9
"NHS Cambridgeshire and Peterborough CCG","Rolling 12 month",6115,5840,9120,10375,0.128771268595865,0.129366557762651,0.129042568751247,0.103761913322947,0.110491503871473,127917000,133757000,140987007,149454000,159147000,9546000,9085000,9920115,10497000,10941000,612000,612000,628000,891000,9e+05,2468,2735,2691,2294,2057,2277,2696,2726,3106,3022,3191,2904,1779,1324,730,611,1910,1495,1818,1537,24,30,20,17,25,28,23,28,21,23,25,20,13,22,17,12,20,12,11,5,60,50,105,30,35,15,40,NA,"06H",12705,44,1420,11,270,2,175,1,160,1,115,0,500,3,3885,30,3350,26,2825,22,NA,11,9150,1720,340,250,110,110,365,2985,1580,1660,20,311100,34,33,10,9190,1565,295,260,180,105,515,3510,1185,1555,20,395170,43,38,194886,196307,198120,55.2241066020594,52.9830405814658,50.5336793899352,0.0641278013325257,0.0461841308298001,0.0468144284207899,1440355089.97257,1440355089.97258,1092562000,1033938000,993366000,0.0075960435563208,0.00728778623623974,0.00907968151921813,0.00878679379227767,0.00960975108872259,1,1,2,3,4,11
"NHS Bristol, North Somerset and South Gloucestershire CCG","Rolling 12 month",4135,4585,5355,7425,0.144305663069658,0.124064965038843,0.124593743324087,0.111531262683661,0.117082087787724,158623745.13,145406000,154554427,166370751.733,174650896,9725028.18,9534000,10857000,11566119.25,12356761.439,256074.46,458000,462266,480757,532961.56131,2237,1935,1723,1934,2248,2797,3129,2781,2700,2401,1757,1817,1563,1699,1705,1493,1717,1572,1195,1063,16,17,17,23,37,30,31,22,28,20,19,21,19,16,22,21,29,11,12,21,NA,NA,NA,25,90,20,NA,NA,"15C",8115,36,1945,23,255,3,150,1,100,1,70,0,395,4,3725,45,920,11,545,6,5,13,5045,1585,170,115,60,55,190,1000,625,1245,0,121080,24,20,16,7040,1940,185,135,90,60,410,1675,915,1625,5,232320,33,24,196318,197090,198154,62.3593843122016,58.3693453071853,55.0865087016084,0.0409529961545061,0.0254599957608729,0.0357197219544371,1491696119.36414,1491696119.36414,1240467000,1172015000,1099220513.9824,0.00828369885702139,0.00775366986603828,0.00875234891375588,0.00813470817353018,0.00884720404713603,2,2,3,1,1,9
"NHS Dorset CCG","Rolling 12 month",4670,4725,6495,6210,0.148958017896649,0.158127702391631,0.164070726689191,0.152191039152068,0.162388771303785,159439895.7,166582000,182298000,197207183.36605,210421273.01,9439532,8431000,8798000,10148887.681,10889227.276,1301000,995000,1201000,1234793.4775,1356790.6501,1836,1517,2205,2660,2303,2388,2687,2485,2977,2419,1911,1680,1402,1704,1740,1458,1479,1225,995,897,17,14,27,19,19,18,31,18,16,19,11,9,16,14,13,13,7,6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"11J",6245,48,815,13,225,3,295,4,195,3,150,2,380,6,2795,44,955,15,440,7,NA,11,4555,985,290,230,195,120,205,1350,410,775,0,163980,36,30,10,4940,925,135,160,145,130,445,1535,490,965,0,232180,47,31,143260,143436,144050,75.5933861575842,70.4539235057272,61.3374606096099,0.0433530024297119,0.0316209649427282,0.03444044730751,1295787087.49732,1295787087.49733,1111094000,1053465000,1070368000,0.00840356211376626,0.007832218563469,0.00791832194215791,0.00800311353485875,0.00881895946067149,3,2,2,1,1,9
"NHS Calderdale CCG","Rolling 12 month",1375,1955,2030,3000,0.122442716144108,0.124206867107938,0.125187859926319,0.123537718706347,0.129653994822242,35108000,35452738.69922,37651000,38914000,40840608.094,1752000,1755964.84,1853000,2352000,2226404.1096,107000,107000,111000,111000,126775.83039,352,242,216,70,42,110,255,200,361,303,140,179,387,374,163,99,14,NA,216,180,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,"02T",3235,26,760,23,95,2,70,2,50,1,30,0,95,2,1295,39,585,18,255,7,NA,11,2240,505,65,40,20,15,50,770,500,275,0,49280,22,34,12,2310,425,25,35,40,50,175,615,515,425,0,101640,44,27,46021,46118,45951,48.4517009336032,51.1849578899262,40.1795394423002,0.0704010794106766,0.0487475789427869,0.0500889023808491,314996912.744518,314996912.744518,300756000,285432999.999999,286729999.999999,0.00706801882660275,0.00746673984677309,0.00616114059237388,0.00615193351854902,0.00611027796184565,1,1,4,4,2,12
"NHS Leeds CCG","Rolling 12 month",4765,6295,6900,8430,0.139759415887563,0.148408499047584,0.152855471134867,0.158923407135446,0.168132064574374,154044000,161277000,175199578.19442,191771167.661104,202883155.64,8695000,8884000,10057604.108028,10223965.826313,11036000,425000,425000,714893.08082217,677031.903810782,708000,858,1150,1112,1235,1064,846,844,952,1289,1276,1056,997,1269,1435,1488,1294,1219,1116,1049,766,7,6,NA,9,12,6,12,6,6,11,9,7,13,13,10,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15F",9390,59,1220,12,290,3,195,2,165,1,115,1,690,7,1995,21,3405,36,1310,13,5,12,7150,1170,160,115,110,120,540,540,3090,1300,0,371800,52,8,14,5375,1145,100,110,95,95,500,390,1685,1245,10,263375,49,7,168176,169422,170581,64.6965371289886,59.9361348937631,59.3642154385381,0.0550471623451615,0.0419155709018003,0.0317255138057631,1206689254.3882,1206689254.3882,1146178000,1086710000,1102208384.4707,0.00914568515453909,0.00847274125391678,0.00877490591167164,0.00817513412041851,0.0078887079090543,2,3,1,2,5,13
"NHS Wakefield CCG","Rolling 12 month",3385,4665,4585,6135,0.135834069380952,0.14629043794925,0.148069988374762,0.0950803920620385,0.10024186924754,71419000,74773431.549,79988000,82011000,86463000,4784000,7655000,8482000,9773000,10158000,193000,195000,196000,436000,442000,168,481,697,575,502,246,465,586,528,506,510,291,356,235,443,529,517,365,276,157,NA,9,8,7,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,25,NA,NA,"03R",6785,24,2540,37,250,3,160,2,140,2,120,1,280,4,1465,21,1135,16,685,10,5,25,4260,1705,150,100,60,40,110,720,640,745,0,72420,17,17,22,3690,965,100,100,60,45,210,810,720,675,0,129150,35,22,72893,73845,74986,135.465286853546,130.330995119089,114.86221138872,0.0904835569306271,0.0568106046462006,0.0499695307739183,862543771.869277,862543771.869273,540204000,511129999.999999,525781199.999999,0.0117767936321491,0.0113304394730256,0.015701475738795,0.014976620429245,0.00909884187566998,5,4,5,5,5,24
"NHS Halton CCG","Rolling 12 month",755,765,1160,1230,0.127067231689375,0.127411753328776,0.128582630071959,0.124673956282787,0.133923241579311,24918089.602,25723286.2913,27303750,28010000,30088000,1652671.7514,1656893.1254,1709000,1866000,2272000,113000,222000,229000,211000,222000,61,106,92,90,212,166,108,163,124,23,80,NA,NA,NA,92,17,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01F",1470,25,330,22,20,1,20,1,20,1,15,1,50,3,680,46,220,15,110,7,NA,12,1020,325,40,35,20,15,15,260,150,160,0,20400,20,25,13,1225,440,55,60,25,15,45,315,90,175,0,28175,23,26,28617,28770,28845,78.7658172993586,64.6905876235049,59.402155022593,0.0509620384815393,0.0353614144565783,0.0425790754257908,224666007.52179,224666007.52179,212344000,201891000.000001,196101616.999999,0.0101127893136199,0.00830566235000645,0.00804826131183365,0.00820686967423013,0.00842762939277551,3,3,5,2,1,14
"NHS Knowsley CCG","Rolling 12 month",1030,1250,1535,2020,0.131742144547101,0.14731983734988,0.150579418259215,0.145668262159834,0.162185100288819,36304360.41,40505000,43439000,43805087.3317443,48772000,1461246,1720000,2224173.09696333,1863513.9436783,2064000,0,140000,143560.537697533,174428.232753064,303000,339,245,289,285,128,116,96,49,11,172,204,53,26,86,7,6,19,28,62,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,"01J",2360,34,570,24,55,2,45,1,70,2,60,2,100,4,695,29,450,19,310,13,10,11,1295,365,70,65,30,30,45,390,120,175,0,38850,30,30,12,1260,240,25,15,20,10,85,565,120,180,0,52920,42,45,33477,33802,34437,59.9355344542208,54.1137132641723,65.8000442862354,0.0685309405581206,0.037604901704562,0.0372759008342702,300718129.551647,300718129.551647,288478999.999999,274945999.999999,275571348.369999,0.0068635702246396,0.00619687927181739,0.0077100000241381,0.00625577386104909,0.00530260496471512,2,1,4,4,4,15
"NHS Liverpool CCG","Rolling 12 month",5970,6345,7520,8495,0.143771962242556,0.1462511705156,0.146951157589455,0.0979872885747473,0.10356395021961,116320000,117293000,124445000,125454000,132593849.67,6051000,6726000,7719000,8475000,8442194.255,312000,316000,492000,598000,636346.59304,591,372,580,611,473,709,462,350,416,513,350,352,264,391,455,498,493,634,628,492,NA,7,12,5,6,NA,5,NA,NA,7,NA,5,NA,5,5,NA,NA,6,NA,NA,NA,90,NA,NA,NA,40,NA,NA,"99A",9875,25,2920,29,355,3,270,2,160,1,110,1,400,4,2655,26,1950,19,760,7,300,21,6030,2870,330,160,95,80,245,505,715,1015,10,150750,25,8,22,5115,1730,185,105,70,50,300,645,1175,850,5,158565,31,13,94902,96052,96744,87.263233430497,87.6023319275614,80.3627201932287,0.102073513602911,0.0623294467873977,0.0532524049473202,1280308923.99171,1280308923.99171,846846000.000003,801997000.000002,809058999.999999,0.00659387285115468,0.0066194961553317,0.00911499847670058,0.0083865650370263,0.00747905900558551,4,1,5,5,4,19
"NHS South Sefton CCG","Rolling 12 month",1075,1235,1525,1810,0.0981803738458536,0.105761457966143,0.115047378854884,0.103278015179625,0.118658260431625,23724906.4,25802622.9,29423022,29114278.2238,33450000,2580550,2778034.6,2660000,2998000,2877000,260260,261716,277196,105000,107000,107,153,110,158,285,222,49,NA,26,50,95,161,5,20,76,124,143,94,173,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,"01T",1815,48,365,20,55,3,50,2,35,1,20,0,135,7,580,31,370,20,205,11,NA,18,1040,365,70,40,30,10,50,155,115,205,0,29120,28,15,19,1230,390,25,30,10,15,130,180,125,325,0,50430,41,15,32252,32578,32677,88.0435780518407,91.7464883557242,81.650193382037,0.055543654558252,0.0318266670747009,0.0377555405488366,281901992.14386,281901992.143859,255747000,243970000.000001,241646120,0.0102056745967649,0.010634901786966,0.0104009040184245,0.0113867877198016,0.0106790458708793,4,3,2,2,4,15
"NHS Southport and Formby CCG","Rolling 12 month",705,790,785,1010,0.117165357058318,0.122119343912928,0.120596615607535,0.108382997159458,0.118805821874363,20293860,22462510,23304090,23668916.6897,25945076.016476,894860,1088000,938000,1071000,1108000,204204,204000,82000,80000,81000,91,165,223,234,88,209,287,386,351,248,246,270,251,238,245,196,326,250,264,416,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01V",915,39,245,26,40,4,45,4,20,2,20,2,60,6,180,19,215,23,85,9,NA,12,510,230,45,20,15,5,25,80,40,50,0,13770,27,16,11,480,185,20,10,5,5,50,100,40,55,0,17760,37,21,21581,21479,21421,51.7249428131273,49.9976658419308,43.6705619442246,0.0427150926660753,0.0238084123056813,0.0223474090972578,218382193.79445,218382193.794449,193239999.999999,183938999.999999,173206999.999999,0.00507367373112341,0.00490424599822489,0.00485406748085284,0.00591500443081676,0.00516641937104161,1,1,3,1,5,11
"NHS St Helens CCG","Rolling 12 month",1555,1430,2925,2565,0.131740366112773,0.12106618241226,0.125513315689106,0.122018198268337,0.129373976888255,37966496.581,36496611.35,39848469.51824,42283000,44832000,1780421.9647,3434352.08,3666916.713,3024000,3249000,0,299271,181329.42,249000,285000,81,49,98,244,324,365,243,201,358,276,214,133,92,44,NA,75,78,93,54,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01X",3205,24,635,19,65,2,25,0,20,0,30,0,65,1,1560,48,575,17,235,7,NA,15,1985,520,45,35,45,20,75,775,85,385,0,55580,28,39,17,2265,305,55,30,30,25,165,765,335,550,0,142695,63,34,36785,36868,36893,88.0654866776895,81.9667687637221,99.4606898394271,0.086872848507847,0.0538042447076681,0.0614353911250949,346530276.631467,346530276.631467,317483999.999999,301460000.000001,288191825.340001,0.00937580413343015,0.00872651021837266,0.0115499260214688,0.0113923972666357,0.00617790585350403,4,3,5,5,1,18
